page,score,core_hits,kw_hits,method,decision,snippet
1,4,0,4,ocr,keep,"rcs : paris ode greffe : 7501 actes des societes, ordonnances rendues en matiere de societe, actes des personnes physiques registre du commerce et des societes le greffier du tribu"
2,4,1,1,ocr,keep,1606455203 date depot : 2016-06-28 numero de depot : 2016r064489 n° gestion : 2016b15141 n° siren : denomination : aab - parc eolien ii! adresse : 3 rue de l'arrivee 75015 paris da
3,20,2,15,ocr,keep,"[cic banque transatlantique da member of cic private banking a creation de s.a.r.l, - attestation de blocage du capital social la banque ci-apres : banque transatlantique 26 avenue"
4,1,0,1,ocr,other,ll liu 1) 1606455202 date depot : 2016-06-28 numero de depot : 2016r064489 n° gestion : 2016b15141 n° siren : denomination : aab - parc eolien ii! adresse : 3 rue de l'arrivee 7501
5,-4,0,0,ocr,other,aab - parc eolien iii societe a responsabilite limitee au capital de 3 000 euros siege social : 3 rue de l'arrivee 75015 paris en cours de formation nomination de la gerance l'an d
6,-1,0,1,ocr,other,me a 1606455201 date depot : 2016-06-28 numero de depot : 2016r064489 n° gestion : 2016b15141 n° siren : denomination : aab - parc eolien ii] adresse : 3 rue de l'arrivee 75015 par
7,0,0,2,ocr,other,aab - parc eolien iii societe a responsabilite limitee au capital de 3 000 euros siege social : 3 rue de l'arrivee en counene ronmanon . #6 0 as4u a. de su teris livofte te tribal 
8,-3,0,1,ocr,other,"titre i forme - objet - denomination - siege - duree - exercice il est forme une societe a responsabilite limitee qui sera regie par les presents statuts, le code de commerce, ains"
9,-1,0,3,ocr,other,"article 4 - siege social le siege social est fixe a paris (75015), 3 rue de l'arrivee. [ il pourra etre transfere : - en tout autre endroit du meme departement par simple decision "
10,1,0,4,ocr,other,"article 8 - capital social le capital social est fixe a la somme de trois mille euros (3 000 €). v4 il est divise en trois cents (300) parts sociales de dix euros (10 €) chacune, n"
11,0,0,3,ocr,other,responsabilite par un commissaire aux apports designe par ordonnance du president du tribunal de commerce a la requete de l'un des gerants. lorsqu'il n'y a pas eu de nomination de 
12,0,0,4,ocr,other,"pour les modifications statutaires, en se conformant aux prescriptions de l'article l.223-34 du code de commerce. en aucun cas, la reduction de capital, quelle qu'en soit la cause,"
13,0,0,3,ocr,other,il - indivisibilite des parts sociales les parts sociales sont indivisibles a l'egard de la societe qui ne reconnait qu'un seul proprietaire pour chacune d'elles. les coproprietair
14,-2,0,2,ocr,other,"si la societe a danne son consentement a un projet de nantissement de parts sociales, ce consentement emportera l'agrement de l'adjudicataire en cas de vente en justice ou de l'att"
15,0,0,4,ocr,other,"3. obligation d'achat ou de rachat de parts dont la cession n'est pas agreee si la societe a refuse de consentir a la cession, les associes sont tenus, dans les trois mois a compte"
16,-2,0,2,ocr,other,"dans les huit jours qui suivent la production ou la delivrance des pieces precitees, la gerance adresse a chacun des associes survivants une lettre recommandee avec demande d'avis "
17,0,0,3,ocr,other,re le gerant associe unique a en toute circonstance les pouvoirs les plus etendus pour agir au nom et dans l'interet de la societe. le gerant est tenu de consacrer tout le temps et
18,-3,0,0,ocr,other,"ceux-ci. toute modification ne peut intervenir que dans les memes conditions la gerance a droit, en outre, au remboursement de ses frais de representation et de deplacements, artic"
19,-1,0,2,ocr,other,"article 18 - responsabilite de la gerance le ou les gerants sont responsables envers la societe ou envers les tiers, soit des infractions aux dispositions legislatives et reglement"
20,-3,0,0,ocr,other,la tenue des assemblees ainsi que les consultations ecrites s'organisent dans les conditions prevues par le code de commerce. les decisions collectives sont qualifiees d'ordinaires
21,-2,0,2,ocr,other,tt une expertise sur une ou plusieurs operations de gestion peut etre demandee en justice par l'associe unique. le ministere public et le comite d'entreprise sont habilites a agir 
22,1,0,4,ocr,other,"article 24 - affectation et repartition des benefices les produits nets de l'exercice, deduction faite des frais generaux et autres charges sociales, ainsi que de tous amortissemen"
23,0,0,4,ocr,other,"la mise en paiement des dividendes doit avoir lieu dans le delai maximum de neuf mois a compter de la cloture de l'exercice, sauf prolongation de ce delai par le president du tribu"
24,-3,0,1,ocr,other,peuvent entrainer la dissolution judiciaire de la societe dans les conditions prevues par l'article l.223-42 du code de commerce. article 27 — liquidation la societe est en liquida
25,-1,0,3,ocr,other,"titre viii dispositions transitoires article 29 - personnalite morale - immatriculation au registre du commerce conformement a la loi, la societe ne jouira de la personnalite moral"
