page,score,core_hits,kw_hits,method,decision,snippet
1,3,0,3,ocr,other,"rcs : marseille actes des societes, ordonnances rendues en matiere de societe, actes des personnes physiques registre du commerce et des societes le greffier du tribunal de commerc"
2,2,0,2,pypdf,other,greffe du tribunal de commerce de marseille : depot n°17589 en date du 08/11/2016
3,-4,0,0,ocr,other,29 4226 d programmation positive 2 societe par actions simplifiee 4 7: capital : 1000 euros siege social : 7 rue de genes 13006 marseille societe par actions simplifiee lesoussigne
4,-1,0,2,ocr,other,"l'achat, la vente, la prise de bail, la location, la gerance, la participation par tous moyens ou sous quelque forme que ce soit, et egalement par le biais d’interfaces electroniqu"
5,2,0,5,ocr,other,"article 5 : duree la duree de la societe est fixee a quatre-vingt-dix-neuf (99) annees, a compter de la date de son immatriculation au registre du commerce et des societes, sauf de"
6,-2,0,2,ocr,other,"le capital doit etre integralement libere avant toute emission d'actions nouvelles a liberer en numeraire, a peine de nullite de l'operation. en cas d'emission d’actions nouvelles,"
7,-1,0,3,ocr,other,les actions sont indivisibles a l'egard de la societe. les coproprietaires indivis d'actions sont representes par l’un deux ou par un mandataire commun de leur choix. a defaut d'ac
8,-2,0,2,ocr,other,"article 13 : dirigeants article 13.1 : le president m. lionel chouraqui, residant 22 avenue de corinthe 13006 marseille, de nationalite francaise, ne le 6 septembre 1967 a paris, e"
9,-2,0,1,ocr,other,le president represente la societe a l’egard des tiers. il est investi des pouvoirs les plus etendus pour agir en toutes circonstances au nom de la societe dans la limite de l’obje
10,-2,0,2,ocr,other,"les fonctions d’un directeur general ou d'un directeur general delegue prennent fin (i) par l’arrivee du terme de son mandat, (ii) par l'incapacite, faillite personnelle ou l'inter"
11,-3,0,1,ocr,other,"+ la fixation de la remuneration du president, des directeurs generaux, et des directeurs generaux delegues, + la fixation de regles particulieres applicables a la revocation du pr"
12,1,0,2,ocr,other,"detenant seul ou ensemble plus de 5 % du capital social et des droits de vote de la societe (le « demandeur »). les decisions de quelque nature qu'elles soient, sont prises, au cho"
13,1,0,2,ocr,other,"l'absence d'observations dans ce delai, le defaut de signature vaudra acceptation gn p par l’associe concerne du texte du proces-verbal. le demandeur etablit alors le proces-verbal"
14,-1,0,0,ocr,other,+ la liste des documents et rapports transmis aux associes. ce proces-verbal est immediatement communique a la societe pour etre conserve. article 14.6 : droit d’information des as
15,-1,0,2,ocr,other,"article 16 : comptes annuels il est tenu une comptabilite reguliere des operations sociales conformement a la loi. a la cloture de chaque exercice, le president etablit l'inventair"
16,5,0,8,ocr,keep,"2 la banque postale certificat de consignation je soussigne, luc baldi, directeur du centre financier de la banque postale de marseille, certifie avoir recu en depot le 6 octobre 2"
17,0,0,0,ocr,other,"e as 10 646 2164. da rot aka tl <. 2 a ces b perte nca a & en, 160 kan a u— endeu later ka) a to, © #7 li le, aa cr pre ne, la cmov eh avr tt -"
